pert,model,pds,cosine,pearson_top500,h1_l1,tier
METTL14,gate_x64,1.0,0.4159956256498525,0.6245111439728663,2425.713349428781,strong
METTL17,gene_direct_x64,0.9933333333333333,0.20883229475107984,0.23808456878100437,742.5850774739556,strong
METTL17,wavg_x64,1.0,0.22146637816410913,0.2515430179307653,742.5850774739556,strong
METTL17,gate_x64,0.9933333333333333,0.20883229475107984,0.23808456878100437,742.5850774739556,strong
METTL3,gene_direct_x64,0.9933333333333333,0.31741347882402593,0.6847925878768522,2403.0855846965387,strong
METTL3,wavg_x64,0.9933333333333333,0.31936027496240493,0.6767209149223825,2403.0855846965387,strong
METTL3,gate_x64,0.9933333333333333,0.31741347882402593,0.6847925878768522,2403.0855846965387,strong
MKI67,gene_direct_x64,0.7266666666666667,0.15841399958945585,0.34153242326045763,286.8509138031113,mid
MKI67,wavg_x64,0.7266666666666667,0.15841399958945585,0.34153242326045763,286.8509138031113,mid
MKI67,gate_x64,0.7266666666666667,0.15841399958945585,0.34153242326045763,286.8509138031113,mid
MTA1,gene_direct_x64,0.6799999999999999,0.17550449731579776,0.3558721794809776,307.5370347657263,mid
MTA1,wavg_x64,0.6799999999999999,0.17550449731579776,0.3558721794809776,307.5370347657263,mid
MTA1,gate_x64,0.6799999999999999,0.17550449731579776,0.3558721794809776,307.5370347657263,mid
NCK2,gene_direct_x64,1.0,0.03962172152898811,0.03702637624781051,100.37324332770913,weak
NCK2,wavg_x64,1.0,0.039621721528988116,0.03702637624781051,100.37324332770913,weak
NCK2,gate_x64,1.0,0.03962172152898811,0.03702637624781051,100.37324332770913,weak
NDUFB4,gene_direct_x64,0.5266666666666666,0.18889392467616634,0.6469594421085252,308.72276848680303,mid
NDUFB4,wavg_x64,0.5533333333333333,0.19558386763668265,0.648833169274518,308.72276848680303,mid
NDUFB4,gate_x64,0.5266666666666666,0.18889392467616634,0.6469594421085252,308.72276848680303,mid
NDUFB6,gene_direct_x64,0.6266666666666667,0.14233452483385167,0.495179257478869,330.3303811847545,mid
NDUFB6,wavg_x64,0.5733333333333333,0.14415951774831348,0.5157183765564513,330.3303811847545,mid
NDUFB6,gate_x64,0.6266666666666667,0.14233452483385167,0.495179257478869,330.3303811847545,mid
NISCH,gene_direct_x64,1.0,0.2704997877389921,0.31548895134715954,284.5541647150094,mid
NISCH,wavg_x64,1.0,0.2634932873473115,0.3032916965081218,284.5541647150094,mid
NISCH,gate_x64,1.0,0.2704997877389921,0.31548895134715954,284.5541647150094,mid
NIT1,gene_direct_x64,0.18000000000000005,-0.003791924748307701,0.07462790869204006,1059.1670126240115,strong
NIT1,wavg_x64,0.18000000000000005,-0.003791924748307698,0.07462790869204006,1059.1670126240115,strong
NIT1,gate_x64,0.18000000000000005,-0.003791924748307701,0.07462790869204006,1059.1670126240115,strong
NRAS,gene_direct_x64,0.8733333333333333,0.1296520431089372,0.17987629701912014,179.2993712949501,weak
NRAS,wavg_x64,0.8733333333333333,0.1296520431089372,0.17987629701912014,179.2993712949501,weak
NRAS,gate_x64,0.8733333333333333,0.1296520431089372,0.17987629701912014,179.2993712949501,weak
OXA1L,gene_direct_x64,0.98,0.4134219860998552,0.4266341272199255,1349.1168801212589,strong
OXA1L,wavg_x64,0.98,0.4194703431944984,0.4377913184530298,1349.1168801212589,strong
OXA1L,gate_x64,0.98,0.4134219860998552,0.4266341272199255,1349.1168801212589,strong
OXCT1,gene_direct_x64,0.52,0.23392519666339723,0.2890945923005524,497.9459188932706,mid
OXCT1,wavg_x64,0.52,0.23392519666339723,0.2890945923005524,497.9459188932706,mid
OXCT1,gate_x64,0.52,0.23392519666339723,0.2890945923005524,497.9459188932706,mid
PAGR1,gene_direct_x64,0.6799999999999999,0.12876826689500911,0.2770377940241017,244.18464629247683,weak
PAGR1,wavg_x64,0.6799999999999999,0.12876826689500911,0.2770377940241017,244.18464629247683,weak
PAGR1,gate_x64,0.6799999999999999,0.12876826689500911,0.2770377940241017,244.18464629247683,weak
PBX1,gene_direct_x64,0.84,-0.014939274310424472,0.011942787574565164,147.80199844991512,weak
PBX1,wavg_x64,0.84,-0.014939274310424472,0.011942787574565164,147.80199844991512,weak
PBX1,gate_x64,0.84,-0.014939274310424472,0.011942787574565164,147.80199844991512,weak
PHF10,gene_direct_x64,0.9666666666666667,0.38655294836072507,0.4181039186891358,524.5547531894372,mid
PHF10,wavg_x64,0.9733333333333334,0.37908243136483394,0.4092564068113412,524.5547531894372,mid
PHF10,gate_x64,0.9666666666666667,0.38655294836072507,0.4181039186891358,524.5547531894372,mid
PHF14,gene_direct_x64,0.7,0.18367946866884535,0.238411356613078,326.7809165989602,mid
PHF14,wavg_x64,0.7,0.18367946866884535,0.238411356613078,326.7809165989602,mid
PHF14,gate_x64,0.7,0.18367946866884535,0.238411356613078,326.7809165989602,mid
PLCB3,gene_direct_x64,0.5800000000000001,-0.04196266289449709,0.0018368026917152706,316.30159484709293,mid
PLCB3,wavg_x64,0.5800000000000001,-0.0419626628944971,0.0018368026917152723,316.30159484709293,mid
PLCB3,gate_x64,0.5800000000000001,-0.04196266289449709,0.0018368026917152706,316.30159484709293,mid
PMS1,gene_direct_x64,0.9066666666666666,0.06701841856504685,0.14607861308444686,142.96250255190535,weak
PMS1,wavg_x64,0.9066666666666666,0.06701841856504685,0.14607861308444686,142.96250255190535,weak
PMS1,gate_x64,0.9066666666666666,0.06701841856504685,0.14607861308444686,142.96250255190535,weak
POLB,gene_direct_x64,0.7666666666666666,0.03716715196277052,0.0050196291832035065,239.21380308837797,weak
POLB,wavg_x64,0.7666666666666666,0.03716715196277052,0.005019629183203507,239.21380308837797,weak
POLB,gate_x64,0.7666666666666666,0.03716715196277052,0.0050196291832035065,239.21380308837797,weak
PRCP,gene_direct_x64,1.0,0.08600664272230372,0.13128261472926228,108.81564259752486,weak
PRCP,wavg_x64,1.0,0.08600664272230372,0.13128261472926228,108.81564259752486,weak
PRCP,gate_x64,1.0,0.08600664272230372,0.13128261472926228,108.81564259752486,weak
PRDM14,gene_direct_x64,0.013333333333333308,0.09817119400363936,0.11500024576880491,2660.854773007046,strong
PRDM14,wavg_x64,0.013333333333333308,0.09817119400363936,0.11500024576880491,2660.854773007046,strong
PRDM14,gate_x64,0.013333333333333308,0.09817119400363936,0.11500024576880491,2660.854773007046,strong
PRR12,gene_direct_x64,0.45999999999999996,0.03204563786822893,0.08907449583274747,351.02503587074534,mid
PRR12,wavg_x64,0.45999999999999996,0.03204563786822893,0.08907449583274747,351.02503587074534,mid
PRR12,gate_x64,0.45999999999999996,0.03204563786822893,0.08907449583274747,351.02503587074534,mid
PTPN1,gene_direct_x64,0.9133333333333333,0.16435334744385885,0.21126156039878946,115.83928570284843,weak
PTPN1,wavg_x64,0.9,0.1665430393578474,0.2080822708401912,115.83928570284843,weak
PTPN1,gate_x64,0.9133333333333333,0.16435334744385885,0.21126156039878946,115.83928570284843,weak
RAF1,gene_direct_x64,0.5266666666666666,0.022695859996849654,0.02967648751032458,285.6380224484674,mid
RAF1,wavg_x64,0.5266666666666666,0.02269585999684966,0.02967648751032458,285.6380224484674,mid
RAF1,gate_x64,0.5266666666666666,0.022695859996849654,0.02967648751032458,285.6380224484674,mid
RNF2,gene_direct_x64,0.22666666666666668,-0.01258563794644268,0.024057882207588335,712.3931164528967,strong
RNF2,wavg_x64,0.22666666666666668,-0.01258563794644268,0.024057882207588338,712.3931164528967,strong
RNF2,gate_x64,0.22666666666666668,-0.01258563794644268,0.024057882207588335,712.3931164528967,strong
RNF20,gene_direct_x64,1.0,0.3154115986118722,0.42582827775977067,2137.4812589890826,strong
RNF20,wavg_x64,1.0,0.31512682472242487,0.4204711844067691,2137.4812589890826,strong
RNF20,gate_x64,1.0,0.3154115986118722,0.42582827775977067,2137.4812589890826,strong
RRM1,gene_direct_x64,0.5733333333333333,0.06302867468902829,0.068583439845308,384.66367163629366,mid
RRM1,wavg_x64,0.6133333333333333,0.05472144151639234,0.08749581988369132,384.66367163629366,mid
RRM1,gate_x64,0.5733333333333333,0.06302867468902829,0.068583439845308,384.66367163629366,mid
SAFB,gene_direct_x64,0.42000000000000004,0.14081252295470775,0.2266379780965619,531.4161940741924,mid
SAFB,wavg_x64,0.42000000000000004,0.14081252295470775,0.2266379780965619,531.4161940741924,mid
SAFB,gate_x64,0.42000000000000004,0.14081252295470775,0.2266379780965619,531.4161940741924,mid
SALL4,gene_direct_x64,0.09999999999999998,0.03103904573931227,-0.0015150305708400919,1174.1462003869274,strong
SALL4,wavg_x64,0.09999999999999998,0.03103904573931227,-0.0015150305708400936,1174.1462003869274,strong
SALL4,gate_x64,0.09999999999999998,0.03103904573931227,-0.0015150305708400919,1174.1462003869274,strong
SDC1,gene_direct_x64,0.9066666666666666,0.3965505144110283,0.37512464856958827,537.1478351453916,mid
SDC1,wavg_x64,0.9133333333333333,0.39428834806527935,0.37947860752714707,537.1478351453916,mid
SDC1,gate_x64,0.9066666666666666,0.3965505144110283,0.37512464856958827,537.1478351453916,mid
SEC62,gene_direct_x64,0.9466666666666667,0.22073385451480024,0.1470348340652646,995.846727973727,strong
SEC62,wavg_x64,0.92,0.18021641587517026,0.1580068819975501,995.846727973727,strong
SEC62,gate_x64,0.9466666666666667,0.22073385451480024,0.1470348340652646,995.846727973727,strong
SHPRH,gene_direct_x64,0.6133333333333333,0.18522197386182251,0.21190686962320746,402.9929579619384,mid
SHPRH,wavg_x64,0.6133333333333333,0.1852219738618225,0.21190686962320746,402.9929579619384,mid
SHPRH,gate_x64,0.6133333333333333,0.18522197386182251,0.21190686962320746,402.9929579619384,mid
SIN3B,gene_direct_x64,0.23333333333333328,0.20561728705204974,0.2804194655960055,1228.7734792183364,strong
SIN3B,wavg_x64,0.23333333333333328,0.20561728705204974,0.2804194655960055,1228.7734792183364,strong
SIN3B,gate_x64,0.23333333333333328,0.20561728705204974,0.2804194655960055,1228.7734792183364,strong
SIX4,gene_direct_x64,0.5866666666666667,0.011432135487829446,0.02823225031310003,261.1507534166776,weak
SIX4,wavg_x64,0.5866666666666667,0.011432135487829446,0.02823225031310002,261.1507534166776,weak
SIX4,gate_x64,0.5866666666666667,0.011432135487829446,0.02823225031310003,261.1507534166776,weak
SLC25A3,gene_direct_x64,0.2666666666666667,0.26841711609906177,0.6294399597375269,354.91011013123716,mid
SLC25A3,wavg_x64,0.32666666666666666,0.278607822266994,0.6325058818251295,354.91011013123716,mid
SLC25A3,gate_x64,0.2666666666666667,0.26841711609906177,0.6294399597375269,354.91011013123716,mid
SLC39A6,gene_direct_x64,0.19333333333333336,0.16079920998550706,0.19812671654328382,1581.2955894510706,strong
SLC39A6,wavg_x64,0.19333333333333336,0.16079920998550706,0.19812671654328382,1581.2955894510706,strong
SLC39A6,gate_x64,0.19333333333333336,0.16079920998550706,0.19812671654328382,1581.2955894510706,strong
SMAGP,gene_direct_x64,0.6666666666666667,0.2029558142369297,0.3464998067103713,373.12805674043557,mid
SMAGP,wavg_x64,0.6866666666666666,0.20573133926348866,0.3509224583953963,373.12805674043557,mid
SMAGP,gate_x64,0.6666666666666667,0.2029558142369297,0.3464998067103713,373.12805674043557,mid
SMARCA4,gene_direct_x64,0.046666666666666634,0.09930264613263458,0.13167023036790665,1731.9605564626581,strong
SMARCA4,wavg_x64,0.046666666666666634,0.09930264613263458,0.13167023036790665,1731.9605564626581,strong
