pert,lam,pds,des
NISCH,1.0,0.053333333333333344,0.12254901960784313
NISCH,2.0,0.053333333333333344,0.1323529411764706
NIT1,0.0,0.18000000000000005,0.7093124456048738
NIT1,0.25,0.9466666666666667,0.7436279995026731
NIT1,0.5,0.9133333333333333,0.7386547308218326
NIT1,1.0,0.9133333333333333,0.7364167599154544
NIT1,2.0,0.9133333333333333,0.7391520576899167
NRAS,0.0,0.8733333333333333,0.13043478260869565
NRAS,0.25,0.22666666666666668,0.13043478260869565
NRAS,0.5,0.16000000000000003,0.13043478260869565
NRAS,1.0,0.1333333333333333,0.17391304347826086
NRAS,2.0,0.1333333333333333,0.13043478260869565
OXA1L,0.0,0.98,0.32835024025627335
OXA1L,0.25,0.9733333333333334,0.34543513080619326
OXA1L,0.5,0.96,0.3577148958889482
OXA1L,1.0,0.9533333333333334,0.38120662039508807
OXA1L,2.0,0.96,0.42658836091831287
OXCT1,0.0,0.52,0.294862518089725
OXCT1,0.25,0.7466666666666666,0.30390738060781475
OXCT1,0.5,0.7,0.3143994211287988
OXCT1,1.0,0.6799999999999999,0.3484081041968162
OXCT1,2.0,0.6599999999999999,0.3835021707670043
PAGR1,0.0,0.6799999999999999,0.047520661157024795
PAGR1,0.25,0.6799999999999999,0.045454545454545456
PAGR1,0.5,0.44666666666666666,0.045454545454545456
PAGR1,1.0,0.36,0.05991735537190083
PAGR1,2.0,0.2666666666666667,0.13016528925619836
PBX1,0.0,0.84,0.02564102564102564
PBX1,0.25,0.1466666666666666,0.02564102564102564
PBX1,0.5,0.1333333333333333,0.02564102564102564
PBX1,1.0,0.1466666666666666,0.02564102564102564
PBX1,2.0,0.1466666666666666,0.10256410256410256
PHF10,0.0,0.9666666666666667,0.248557944415312
PHF10,0.25,0.8333333333333334,0.26428945988463554
PHF10,0.5,0.7866666666666666,0.2716308337703199
PHF10,1.0,0.7533333333333333,0.3025694808599895
PHF10,2.0,0.7333333333333334,0.33560566334556896
PHF14,0.0,0.7,0.13657623947614594
PHF14,0.25,0.6666666666666667,0.1421889616463985
PHF14,0.5,0.6266666666666667,0.15434985968194576
PHF14,1.0,0.5933333333333333,0.16744621141253507
PHF14,2.0,0.6,0.2048643592142189
PLCB3,0.0,0.5800000000000001,0.1035007610350076
PLCB3,0.25,0.053333333333333344,0.1080669710806697
PLCB3,0.5,0.040000000000000036,0.106544901065449
PLCB3,1.0,0.040000000000000036,0.1050228310502283
PLCB3,2.0,0.040000000000000036,0.1171993911719939
PMS1,0.0,0.9066666666666666,0.6666666666666666
PMS1,0.25,0.3666666666666667,0.6666666666666666
PMS1,0.5,0.32666666666666666,0.6666666666666666
PMS1,1.0,0.29333333333333333,0.6666666666666666
PMS1,2.0,0.29333333333333333,0.6666666666666666
POLB,0.0,0.7666666666666666,0.011560693641618497
POLB,0.25,0.11333333333333329,0.005780346820809248
POLB,0.5,0.07333333333333336,0.005780346820809248
POLB,1.0,0.07333333333333336,0.005780346820809248
POLB,2.0,0.06666666666666665,0.03468208092485549
PRCP,0.0,1.0,0.0625
PRCP,0.25,0.2866666666666666,0.0625
PRCP,0.5,0.19333333333333336,0.0625
PRCP,1.0,0.18666666666666665,0.0625
PRCP,2.0,0.18000000000000005,0.125
PRDM14,0.0,0.013333333333333308,0.7108165429480382
PRDM14,0.25,0.9866666666666667,0.8056203605514316
PRDM14,0.5,1.0,0.8050901378579003
PRDM14,1.0,1.0,0.8025450689289502
PRDM14,2.0,0.9933333333333333,0.8022269353128314
PRR12,0.0,0.45999999999999996,0.1381118881118881
PRR12,0.25,0.5933333333333333,0.1486013986013986
PRR12,0.5,0.5666666666666667,0.155011655011655
PRR12,1.0,0.5466666666666666,0.19405594405594406
PRR12,2.0,0.54,0.25874125874125875
PTPN1,0.0,0.9133333333333333,0.1
PTPN1,0.25,0.42000000000000004,0.1
PTPN1,0.5,0.4,0.1
PTPN1,1.0,0.3933333333333333,0.1
PTPN1,2.0,0.3933333333333333,0.1
