pert,model,des,k_true,h1_l1,tier
MAST2,gene_top200,0.0,30,196.26912748440736,weak
MAST2,gene_top500,0.0,30,196.26912748440736,weak
MAU2,gene_direct,0.5658791129149152,6899,1009.8558957573259,strong
MAU2,h1_mean,0.6422669952166981,6899,1009.8558957573259,strong
MAU2,gene_top50,0.3978837512682998,6899,1009.8558957573259,strong
MAU2,gene_top100,0.399188288157704,6899,1009.8558957573259,strong
MAU2,gene_top200,0.4025221046528482,6899,1009.8558957573259,strong
MAU2,gene_top500,0.41005942890273955,6899,1009.8558957573259,strong
MBTPS1,gene_direct,0.460298266827892,4962,802.4982714554899,strong
MBTPS1,h1_mean,0.6172914147521161,4962,802.4982714554899,strong
MBTPS1,gene_top50,0.2785167271261588,4962,802.4982714554899,strong
MBTPS1,gene_top100,0.2815397017331721,4962,802.4982714554899,strong
MBTPS1,gene_top200,0.2867795243853285,4962,802.4982714554899,strong
MBTPS1,gene_top500,0.29604997984683595,4962,802.4982714554899,strong
MED1,gene_direct,0.4435920577617328,4432,801.2845341905595,strong
MED1,h1_mean,0.5981498194945848,4432,801.2845341905595,strong
MED1,gene_top50,0.24796931407942238,4432,801.2845341905595,strong
MED1,gene_top100,0.24977436823104693,4432,801.2845341905595,strong
MED1,gene_top200,0.2572202166064982,4432,801.2845341905595,strong
MED1,gene_top500,0.27053249097472926,4432,801.2845341905595,strong
MED12,gene_direct,0.24692405600339415,2357,368.30400123534855,mid
MED12,h1_mean,0.3725074246924056,2357,368.30400123534855,mid
MED12,gene_top50,0.12515910055154858,2357,368.30400123534855,mid
MED12,gene_top100,0.12897751378871447,2357,368.30400123534855,mid
MED12,gene_top200,0.13322019516334324,2357,368.30400123534855,mid
MED12,gene_top500,0.14764531183708104,2357,368.30400123534855,mid
MED13,gene_direct,0.20721412125863392,2606,403.77241301639515,mid
MED13,h1_mean,0.3806600153491942,2606,403.77241301639515,mid
MED13,gene_top50,0.14389869531849578,2606,403.77241301639515,mid
MED13,gene_top100,0.1446661550268611,2606,403.77241301639515,mid
MED13,gene_top200,0.1488871834228703,2606,403.77241301639515,mid
MED13,gene_top500,0.15042210283960092,2606,403.77241301639515,mid
MED13L,gene_direct,0.042505592841163314,447,229.34845140561447,weak
MED13L,h1_mean,0.1767337807606264,447,229.34845140561447,weak
MED13L,gene_top50,0.029082774049217,447,229.34845140561447,weak
MED13L,gene_top100,0.026845637583892617,447,229.34845140561447,weak
MED13L,gene_top200,0.03131991051454139,447,229.34845140561447,weak
MED13L,gene_top500,0.042505592841163314,447,229.34845140561447,weak
MED24,gene_direct,0.5480769230769231,6240,1058.5990794623322,strong
MED24,h1_mean,0.7080128205128206,6240,1058.5990794623322,strong
MED24,gene_top50,0.3556089743589744,6240,1058.5990794623322,strong
MED24,gene_top100,0.35705128205128206,6240,1058.5990794623322,strong
MED24,gene_top200,0.3592948717948718,6240,1058.5990794623322,strong
MED24,gene_top500,0.3701923076923077,6240,1058.5990794623322,strong
METTL14,gene_direct,0.739218833600856,9345,2425.713349428781,strong
METTL14,h1_mean,0.7950775815944355,9345,2425.713349428781,strong
METTL14,gene_top50,0.5238095238095238,9345,2425.713349428781,strong
METTL14,gene_top100,0.5243445692883895,9345,2425.713349428781,strong
METTL14,gene_top200,0.5254146602461209,9345,2425.713349428781,strong
METTL14,gene_top500,0.5316211878009631,9345,2425.713349428781,strong
METTL17,gene_direct,0.5597763525735898,6081,742.5850774739556,strong
METTL17,h1_mean,0.7322808748561092,6081,742.5850774739556,strong
METTL17,gene_top50,0.3423778983719783,6081,742.5850774739556,strong
METTL17,gene_top100,0.3423778983719783,6081,742.5850774739556,strong
METTL17,gene_top200,0.3463246176615688,6081,742.5850774739556,strong
METTL17,gene_top500,0.3565203091596777,6081,742.5850774739556,strong
METTL3,gene_direct,0.7449315359303683,9421,2403.0855846965387,strong
METTL3,h1_mean,0.8020380002122917,9421,2403.0855846965387,strong
METTL3,gene_top50,0.5252096380426706,9421,2403.0855846965387,strong
METTL3,gene_top100,0.5259526589534019,9421,2403.0855846965387,strong
METTL3,gene_top200,0.5265895340197432,9421,2403.0855846965387,strong
METTL3,gene_top500,0.532639847149984,9421,2403.0855846965387,strong
