ref,pert,pearson_full,pearson_top500,sign_agree_top200,sign_cos_top200,h1_l1,ref_l1
k562_gwps,UQCRQ,0.10943904044462253,0.3164851867143422,-0.040920716,-0.040920715779066086,364.0502,356.62164
k562_gwps,USP22,0.12588341005240694,0.18772773259170275,0.11363637,0.11363636702299118,273.35455,237.25119
k562_gwps,WSB2,0.08739266678930807,-0.006811852318681768,0.17391305,0.17391304671764374,483.66534,281.02942
k562_gwps,XRCC4,0.03807286927090657,0.14646412813649357,-0.10941476,-0.10941475629806519,545.1461,220.24402
k562_gwps,ZNF286A,0.02289533592451592,0.038666320148533,0.0075949365,0.007594936527311802,153.4991,290.01666
k562_gwps,ZNF426,0.027468807654157608,0.0570000163324349,0.025188917,0.02518891729414463,152.70477,234.7226
k562_gwps,ZNF562,0.05108064262728662,0.07000270743960059,0.13197969,0.13197968900203705,251.01167,314.18317
k562_gwps,ZNF593,0.11840331231226346,0.23644492240470866,0.030456852,0.030456852167844772,346.44586,200.44891
k562_gwps,ZNF714,0.055980341127326395,0.11153595961067884,0.01511335,0.015113350003957748,178.81268,393.44696
rpe1,ATP6V0B,0.16002577572990442,0.2461113728078327,0.17994858,0.1799485832452774,380.53754,469.97833
rpe1,ATP6V0C,0.1396661975275628,0.2517304563189746,0.21649484,0.2164948433637619,1066.6549,389.52753
rpe1,C1QBP,0.21503760816769388,0.20037427726019114,0.45876288,0.45876288414001465,626.7134,1068.4667
rpe1,CAST,-0.017667068120035694,-0.0786172570096143,0.15649867,0.15649867057800293,337.5499,586.249
rpe1,CHMP3,0.025286685071063023,0.04608985138331687,0.06122449,0.06122449040412903,390.7771,883.366
rpe1,DAXX,0.09935980768542695,0.16396291685688272,0.10909091,0.1090909093618393,284.6159,470.11157
rpe1,DHX36,0.33657235563164234,0.4032843559801007,0.54068244,0.5406824350357056,1279.046,779.46564
rpe1,DNAJA3,0.10088539749166163,0.20345970795429882,0.049608354,0.04960835352540016,1354.553,328.74603
rpe1,DNMT1,0.08193696920557648,0.0828691185854393,0.10178117,0.10178116708993912,1217.1913,645.80023
rpe1,EIF4B,0.33794559799729257,0.4428087830428135,0.43617022,0.43617022037506104,503.79773,292.04834
rpe1,EPB41L2,0.14679426300747234,0.1959365484591103,0.17297298,0.17297297716140747,1054.3738,525.7029
rpe1,ETV4,0.1842554340205587,0.2512098995917487,0.14814815,0.14814814925193787,820.8019,617.46985
rpe1,EWSR1,0.21558443512922643,0.15818444454244637,0.38402063,0.3840206265449524,838.9225,366.82047
rpe1,FDPS,0.02020755842606877,0.019881916360335185,0.030456852,0.030456852167844772,1123.9965,452.27045
rpe1,GSK3B,0.07778386134017475,0.11046275190943476,0.12435233,0.12435232847929001,470.17007,531.52185
rpe1,HIRA,0.1276310141118444,0.10241488124202804,0.2150259,0.2150259017944336,231.61523,415.33228
rpe1,KDM1A,0.2595990497979619,0.3427132163767826,0.32207793,0.3220779299736023,2727.5635,381.19168
rpe1,KIF20A,0.1954879390832172,0.28768926818370283,0.38442212,0.3844221234321594,1201.2542,1267.8353
rpe1,LRPPRC,0.14795227512965517,0.24030216957256922,-0.15503876,-0.1550387591123581,537.3006,442.5492
rpe1,LZTR1,0.16283078942684592,0.22546650500699594,0.22702703,0.227027028799057,528.3227,318.9159
rpe1,MAU2,0.14494212439342713,0.055508951831739824,0.27319586,0.27319586277008057,1009.85596,1084.178
rpe1,MBTPS1,0.1468751191905919,0.18771375085342676,0.3,0.30000001192092896,802.4983,271.2273
rpe1,MED1,0.08600347000385719,0.2491392957477449,0.15938303,0.15938302874565125,801.28455,686.328
rpe1,MED12,0.06492611343976004,0.09653495068581473,0.16284987,0.16284987330436707,368.30402,905.72327
rpe1,MED24,0.002885845624580594,0.051603422848265676,-0.010178117,-0.010178117081522942,1058.5991,727.6052
rpe1,METTL14,0.31614733652198906,0.5839759882467755,0.5736842,0.5736842155456543,2425.7134,603.1521
rpe1,METTL17,0.06770702714434977,0.1030209084285536,0.107329845,0.1073298454284668,742.5851,339.07465
rpe1,METTL3,0.3790702099338903,0.5821146224957531,0.6099476,0.6099476218223572,2403.0854,637.32385
rpe1,NDUFB4,0.1940332808084063,0.41037458707919255,0.0051282053,0.0051282052882015705,308.72278,264.94806
rpe1,NDUFB6,0.11183728335323138,0.14777490327205453,0.16414142,0.16414141654968262,330.33038,377.37677
rpe1,NISCH,0.14370519847736007,0.18164754947622183,0.22250639,0.22250638902187347,284.55414,258.7672
rpe1,OXA1L,0.05887486841701348,0.12398459838139718,0.038560413,0.0385604128241539,1349.117,532.81494
rpe1,PHF10,0.18541445254190098,0.2834481259480943,0.21727748,0.21727748215198517,524.55475,390.30582
rpe1,PTPN1,0.09430796042352929,0.07161314025044715,0.18939394,0.18939393758773804,115.83929,492.69186
rpe1,RNF20,0.2466540448365891,0.2430943891943386,0.3828125,0.3828125,2137.4812,695.79224
rpe1,RRM1,0.02479508742518823,0.12530892158234416,-0.13131313,-0.13131313025951385,384.6637,698.58826
rpe1,SDC1,0.18232181218917626,0.21356039307409133,0.34986946,0.3498694598674774,537.1478,601.3773
rpe1,SEC62,0.18844033953577732,0.056819739109135126,0.3685567,0.3685567080974579,995.8467,991.64777
rpe1,SLC25A3,0.17182909308356814,0.34344465861952045,0.017721519,0.017721518874168396,354.9101,517.1682
rpe1,SMAGP,0.17067430196273295,0.2713156666658831,0.13910761,0.1391076147556305,373.12805,284.5758
rpe1,SSBP1,0.10607232643841531,0.1839183642227243,0.06153846,0.0615384615957737,423.6704,490.92535
rpe1,STAG2,0.07658195643300034,-0.08068075580161327,0.18205129,0.18205128610134125,716.3636,354.70636
rpe1,SUPT4H1,0.16609865792932185,0.12372120878051295,0.3523316,0.35233160853385925,1963.2397,1057.9934
rpe1,TADA1,0.15751107507965212,0.18173952146301767,0.31865284,0.31865283846855164,777.2776,468.62244
rpe1,TAF13,0.15532192049214602,0.29418097178587926,0.31182796,0.31182795763015747,1418.7681,437.0269
rpe1,TAZ,0.10263443156652038,0.15395160009649722,0.25581396,0.25581395626068115,246.87904,403.19916
rpe1,TFAM,0.16913133624561721,0.2992833810284035,-0.18586387,-0.18586386740207672,564.0038,139.00421
rpe1,TMSB10,0.2516619880392099,0.34117316217010557,0.28198433,0.2819843292236328,588.4889,650.019
rpe1,UBE3C,0.24259482629728907,0.2564019507052711,0.46721312,0.46721312403678894,467.761,470.66043
